Chain,Month,DOW,Scam_Type,Funds_Lost,Funds_Returned
Ethereum,August,Sunday,Exploit,FL Low Millions,No Funds Returned
Avax,May,Tuesday,Exit Scam,FL Less Than 100K,No Funds Returned
CEX,April,Saturday,Exploit,FL Low Millions,No Funds Returned
Binance,July,Wednesday,Exit Scam,FL High 100K's,No Funds Returned
Fantom,May,Saturday,Exploit,FL Less Than 100K,No Funds Returned
Ethereum,October,Tuesday,Exit Scam,FL Less Than 100K,No Funds Returned
CEX,February,Wednesday,Exploit,FL Low Millions,No Funds Returned
CEX,July,Friday,Exploit,FL Low Millions,No Funds Returned
Avax,September,Tuesday,Exploit,FL Low 100K's,No Funds Returned
Ethereum,October,Wednesday,Exit Scam,FL Less Than 100K,No Funds Returned
Binance,May,Monday,Exploit,FL High 100K's,No Funds Returned
CEX,October,Monday,Exploit,FL Low Millions,No Funds Returned
Other,October,Saturday,Exploit,FL Less Than 100K,No Funds Returned
Ethereum,July,Sunday,Exploit,FL High 100K's,No Funds Returned
Binance,February,Monday,Exit Scam,FL Low 100K's,No Funds Returned
Ethereum,June,Thursday,Exploit,FL Less Than 100K,No Funds Returned
Ethereum,December,Thursday,Exploit,FL Low 100K's,No Funds Returned
Ethereum,December,Tuesday,Exit Scam,FL Less Than 100K,No Funds Returned
Other,July,Thursday,Exit Scam,FL Low Millions,No Funds Returned
Binance,August,Tuesday,Exit Scam,FL Low 100K's,No Funds Returned
Ethereum,July,Sunday,Exploit,FL Low 100K's,FR Low 100K's
Binance,July,Wednesday,Exit Scam,FL Less Than 100K,No Funds Returned
Binance,September,Thursday,Exit Scam,FL Less Than 100K,No Funds Returned
Binance,June,Thursday,Exit Scam,FL Low 100K's,No Funds Returned
Ethereum,June,Saturday,Exploit,FL Low 100K's,No Funds Returned
Ethereum,July,Sunday,Exploit,FL Low 100K's,No Funds Returned
Other,April,Wednesday,Exploit,FL Less Than 100K,No Funds Returned
Heco,December,Thursday,Exploit,FL Low 100K's,No Funds Returned
Fantom,March,Tuesday,Exploit,FL Low Millions,No Funds Returned
Binance,January,Friday,Exit Scam,FL Low 100K's,No Funds Returned
Fantom,January,Sunday,Exit Scam,FL High 100K's,No Funds Returned
Binance,January,Thursday,Exploit,FL Low Millions,No Funds Returned
Ethereum,October,Friday,Exit Scam,FL Less Than 100K,No Funds Returned
CEX,December,Monday,Exit Scam,FL Billions,No Funds Returned
CEX,March,Tuesday,Exploit,FL Less Than 100K,FR Less Than 100K (>0)
Ethereum,June,Friday,Exit Scam,FL Less Than 100K,No Funds Returned
CEX,May,Wednesday,Exploit,FL Low 100K's,No Funds Returned
Binance,February,Wednesday,Exit Scam,FL High 100K's,No Funds Returned
Ethereum,June,Sunday,Exploit,FL Low Millions,FR Low Millions
Ethereum,February,Saturday,Exploit,FL Low Millions,FR Low Millions
Polygon,July,Monday,Exploit,FL Less Than 100K,No Funds Returned
Avax,May,Saturday,Exit Scam,FL Low Millions,No Funds Returned
CEX,October,Sunday,Exploit,FL Low Millions,No Funds Returned
Ethereum,September,Saturday,Exploit,FL Low 100K's,No Funds Returned
Ethereum,October,Tuesday,Exploit,FL Low Millions,No Funds Returned
Ethereum,July,Wednesday,Exploit,FL Low 100K's,No Funds Returned
Ethereum,February,Sunday,Exploit,FL Low Millions,No Funds Returned
Binance,July,Wednesday,Exit Scam,FL Less Than 100K,No Funds Returned
Ethereum,December,Saturday,Exit Scam,FL Less Than 100K,No Funds Returned
CEX,July,Tuesday,Exploit,FL Low Millions,No Funds Returned
Binance,September,Tuesday,Exit Scam,FL Less Than 100K,No Funds Returned
CEX,October,Wednesday,Exploit,FL Less Than 100K,No Funds Returned
Binance,March,Sunday,Exit Scam,FL Less Than 100K,No Funds Returned
Binance,June,Monday,Exploit,FL Less Than 100K,No Funds Returned
Binance,August,Monday,Exit Scam,FL Less Than 100K,No Funds Returned
Ethereum,December,Monday,Exit Scam,FL Low Millions,No Funds Returned
Gnosis,March,Tuesday,Exploit,FL Low Millions,No Funds Returned
Ethereum,December,Sunday,Exploit,FL Low Millions,No Funds Returned
Binance,September,Friday,Exploit,FL Low 100K's,No Funds Returned
Ethereum,July,Wednesday,Exploit,FL Low Millions,No Funds Returned
Ethereum,June,Friday,Exit Scam,FL Low 100K's,No Funds Returned
Ethereum,October,Monday,Exit Scam,FL Less Than 100K,No Funds Returned
Binance,September,Thursday,Exploit,FL Low 100K's,No Funds Returned
Other,April,Friday,Exploit,FL Low 100K's,FR Less Than 100K (>0)
Ethereum,May,Wednesday,Exploit,FL High 100K's,No Funds Returned
Ethereum,December,Saturday,Exit Scam,FL Less Than 100K,No Funds Returned
Binance,September,Sunday,Exploit,FL High 100K's,No Funds Returned
Binance,September,Thursday,Exit Scam,FL Low 100K's,No Funds Returned
Ethereum,June,Thursday,Exploit,FL Low Millions,No Funds Returned
Ethereum,March,Sunday,Exit Scam,FL Less Than 100K,No Funds Returned
Binance,April,Thursday,Exploit,FL Low Millions,No Funds Returned
Ethereum,December,Tuesday,Exit Scam,FL Less Than 100K,No Funds Returned
Ethereum,October,Saturday,Exit Scam,FL Less Than 100K,No Funds Returned
Solana,March,Wednesday,Exploit,FL Low Millions,No Funds Returned
Ethereum,January,Sunday,Exit Scam,FL Low 100K's,No Funds Returned
Ethereum,March,Sunday,Exploit,FL High 100K's,No Funds Returned
Ethereum,October,Sunday,Exit Scam,FL Less Than 100K,No Funds Returned
Other,March,Monday,Exploit,FL Low 100K's,No Funds Returned
Binance,August,Monday,Exit Scam,FL Less Than 100K,No Funds Returned
Binance,October,Friday,Exploit,FL High 100K's,No Funds Returned
Ethereum,March,Monday,Exploit,FL Low Millions,No Funds Returned
Ethereum,January,Tuesday,Exit Scam,FL Less Than 100K,No Funds Returned
Ethereum,December,Sunday,Exit Scam,FL Less Than 100K,No Funds Returned
Ethereum,July,Monday,Exploit,FL Low Millions,No Funds Returned
Ethereum,December,Friday,Exit Scam,FL Less Than 100K,No Funds Returned
Other,June,Thursday,Exploit,FL Low Millions,No Funds Returned
Polygon,August,Saturday,Exploit,FL Less Than 100K,No Funds Returned
Polygon,February,Tuesday,Exploit,FL Low Millions,No Funds Returned
Ethereum,May,Tuesday,Exploit,FL Low 100K's,No Funds Returned
Fantom,March,Wednesday,Exploit,FL Low Millions,No Funds Returned
Binance,February,Monday,Exit Scam,FL Less Than 100K,No Funds Returned
Ethereum,June,Saturday,Exploit,FL Less Than 100K,No Funds Returned
Binance,January,Friday,Exit Scam,FL Less Than 100K,No Funds Returned
Ethereum,February,Wednesday,Exploit,FL Low Millions,No Funds Returned
Ethereum,September,Saturday,Exit Scam,FL Less Than 100K,No Funds Returned
Binance,May,Friday,Exploit,FL Low Millions,No Funds Returned
Other,July,Wednesday,Exit Scam,FL Low Millions,No Funds Returned
Binance,March,Tuesday,Exit Scam,FL Less Than 100K,No Funds Returned
Ethereum,June,Monday,Exploit,FL Low 100K's,No Funds Returned
Ethereum,October,Tuesday,Exit Scam,FL Less Than 100K,No Funds Returned
Other,July,Monday,Exit Scam,FL Low Millions,No Funds Returned
Ethereum,October,Tuesday,Exploit,FL Low Millions,No Funds Returned
Binance,May,Wednesday,Exit Scam,FL Low Millions,No Funds Returned
Binance,June,Sunday,Exit Scam,FL Low 100K's,No Funds Returned
Ethereum,July,Tuesday,Exploit,FL Less Than 100K,No Funds Returned
Polygon,July,Wednesday,Exploit,FL Low Millions,No Funds Returned
Avax,October,Saturday,Exploit,FL Low Millions,No Funds Returned
Ethereum,February,Tuesday,Exit Scam,FL Less Than 100K,No Funds Returned
xDAI,October,Sunday,Exploit,FL Low 100K's,No Funds Returned
Polygon,September,Thursday,Exploit,FL Low 100K's,No Funds Returned
Binance,May,Sunday,Exploit,FL Low Millions,No Funds Returned
Ethereum,December,Tuesday,Exit Scam,FL Low Millions,No Funds Returned
Other,December,Thursday,Exploit,FL High 100K's,No Funds Returned
Binance,February,Monday,Exploit,FL Low 100K's,No Funds Returned
Ethereum,August,Wednesday,Exploit,FL Low 100K's,No Funds Returned
Ethereum,July,Saturday,Exploit,FL Low Millions,No Funds Returned
Binance,October,Friday,Exploit,FL Low Millions,No Funds Returned
Ethereum,March,Thursday,Exit Scam,FL Less Than 100K,No Funds Returned
Ethereum,May,Wednesday,Exploit,FL Low Millions,No Funds Returned
Ethereum,January,Tuesday,Exit Scam,FL Low 100K's,No Funds Returned
Binance,June,Tuesday,Exploit,FL Less Than 100K,No Funds Returned
Solana,January,Thursday,Exit Scam,FL Less Than 100K,No Funds Returned
Polygon,June,Sunday,Exploit,FL Less Than 100K,No Funds Returned
Ethereum,October,Sunday,Exit Scam,FL Less Than 100K,No Funds Returned
Ethereum,October,Saturday,Exit Scam,FL Less Than 100K,No Funds Returned
Ethereum,September,Thursday,Exit Scam,FL Less Than 100K,No Funds Returned
Ethereum,June,Sunday,Exploit,FL Less Than 100K,No Funds Returned
Ethereum,December,Friday,Exit Scam,FL Less Than 100K,No Funds Returned
Ethereum,April,Sunday,Exploit,FL Low 100K's,FR Low 100K's
Binance,June,Wednesday,Exit Scam,FL Low Millions,No Funds Returned
CEX,December,Tuesday,Exploit,FL Low Millions,No Funds Returned
Ethereum,October,Thursday,Exit Scam,FL Low 100K's,No Funds Returned
Ethereum,March,Tuesday,Exploit,FL Low Millions,FR Low Millions
Ethereum,September,Thursday,Exit Scam,FL Low 100K's,No Funds Returned
Ethereum,February,Monday,Exploit,FL Low 100K's,No Funds Returned
Binance,October,Monday,Exit Scam,FL Less Than 100K,No Funds Returned
Binance,October,Sunday,Exploit,FL High 100K's,No Funds Returned
Ethereum,January,Friday,Exit Scam,FL Less Than 100K,No Funds Returned
Binance,October,Wednesday,Exploit,FL Less Than 100K,No Funds Returned
Binance,September,Friday,Exit Scam,FL High 100K's,No Funds Returned
Other,February,Wednesday,Exploit,FL Less Than 100K,No Funds Returned
Ethereum,December,Thursday,Exit Scam,FL Less Than 100K,No Funds Returned
Ethereum,December,Monday,Exit Scam,FL Less Than 100K,No Funds Returned
Ethereum,February,Saturday,Exploit,FL Low 100K's,No Funds Returned
CEX,February,Saturday,Exploit,FL Less Than 100K,No Funds Returned
Polkadot,August,Sunday,Exploit,FL Low Millions,No Funds Returned
Ethereum,July,Thursday,Exploit,FL Low Millions,No Funds Returned
Other,October,Friday,Exploit,FL Low Millions,No Funds Returned
Binance,August,Saturday,Exit Scam,FL Low 100K's,No Funds Returned
Binance,March,Friday,Exit Scam,FL Less Than 100K,No Funds Returned
Ethereum,October,Tuesday,Exit Scam,FL Less Than 100K,No Funds Returned
Ethereum,January,Tuesday,Exit Scam,FL Less Than 100K,No Funds Returned
Ethereum,January,Friday,Exit Scam,FL Less Than 100K,No Funds Returned
Ethereum,October,Thursday,Exploit,FL Low Millions,No Funds Returned
Binance,August,Tuesday,Exploit,FL Low Millions,No Funds Returned
Binance,August,Wednesday,Exploit,FL High 100K's,No Funds Returned
Ethereum,February,Saturday,Exit Scam,FL High 100K's,No Funds Returned
Binance,March,Thursday,Exit Scam,FL Less Than 100K,No Funds Returned
Ethereum,August,Tuesday,Exit Scam,FL Low 100K's,No Funds Returned
Polygon,July,Saturday,Exploit,FL Less Than 100K,No Funds Returned
Ethereum,December,Wednesday,Exit Scam,FL Less Than 100K,No Funds Returned
Ethereum,August,Thursday,Exploit,FL High 100K's,No Funds Returned
Binance,April,Friday,Exploit,FL Low Millions,No Funds Returned
Binance,February,Monday,Exit Scam,FL Less Than 100K,No Funds Returned
Ethereum,June,Friday,Exploit,FL Low Millions,No Funds Returned
Binance,June,Wednesday,Exit Scam,FL Less Than 100K,No Funds Returned
Ethereum,March,Thursday,Exploit,FL Low 100K's,No Funds Returned
Ethereum,December,Monday,Exit Scam,FL Less Than 100K,No Funds Returned
Binance,April,Wednesday,Exploit,FL Low Millions,No Funds Returned
Ethereum,January,Sunday,Exit Scam,FL Less Than 100K,No Funds Returned
Ethereum,March,Tuesday,Exit Scam,FL Low 100K's,No Funds Returned
Binance,March,Tuesday,Exit Scam,FL Low Millions,No Funds Returned
Binance,May,Wednesday,Exploit,FL High 100K's,No Funds Returned
Ethereum,December,Wednesday,Exit Scam,FL Less Than 100K,No Funds Returned
Ethereum,October,Monday,Exit Scam,FL Low Millions,No Funds Returned
Ethereum,August,Monday,Exit Scam,FL Less Than 100K,No Funds Returned
Binance,August,Sunday,Exploit,FL Low 100K's,No Funds Returned
Ethereum,June,Sunday,Exploit,FL High 100K's,No Funds Returned
Binance,October,Thursday,Exploit,FL Low Millions,No Funds Returned
Ethereum,December,Monday,Exit Scam,FL Less Than 100K,No Funds Returned
EOS,September,Wednesday,Exit Scam,FL Low Millions,No Funds Returned
Ethereum,December,Sunday,Exit Scam,FL Low 100K's,No Funds Returned
Ethereum,October,Monday,Exploit,FL Low Millions,FR Low Millions
Ethereum,September,Saturday,Exploit,FL Low Millions,No Funds Returned
Ethereum,March,Monday,Exploit,FL High 100K's,No Funds Returned
Binance,March,Monday,Exploit,FL Low 100K's,No Funds Returned
Binance,October,Friday,Exit Scam,FL Low Millions,No Funds Returned
Binance,September,Monday,Exit Scam,FL Low 100K's,No Funds Returned
Binance,May,Sunday,Exit Scam,FL Low Millions,No Funds Returned
Ethereum,January,Tuesday,Exit Scam,FL Low 100K's,No Funds Returned
CEX,January,Wednesday,Exploit,FL Low 100K's,No Funds Returned
CEX,September,Friday,Exploit,FL Low Millions,No Funds Returned
Ethereum,December,Tuesday,Exit Scam,FL Less Than 100K,No Funds Returned
Binance,January,Wednesday,Exit Scam,FL Low Millions,No Funds Returned
Binance,December,Wednesday,Exploit,FL Low Millions,No Funds Returned
Ethereum,January,Saturday,Exploit,FL Less Than 100K,No Funds Returned
Solana,August,Thursday,Exploit,FL Less Than 100K,FR Less Than 100K (>0)
Ethereum,September,Thursday,Exit Scam,FL High 100K's,No Funds Returned
Binance,June,Monday,Exit Scam,FL Low 100K's,No Funds Returned
Ethereum,August,Tuesday,Exploit,FL High 100K's,FR Low 100K's
Ethereum,October,Wednesday,Exploit,FL Low 100K's,No Funds Returned
Ethereum,July,Thursday,Exploit,FL Less Than 100K,No Funds Returned
Binance,August,Sunday,Exit Scam,FL Less Than 100K,No Funds Returned
Binance,August,Saturday,Exploit,FL Low 100K's,No Funds Returned
Binance,September,Sunday,Exploit,FL Low Millions,No Funds Returned
CEX,December,Monday,Exploit,FL Low Millions,No Funds Returned
Binance,October,Wednesday,Exploit,FL Low Millions,No Funds Returned
CEX,October,Friday,Exploit,FL Low Millions,FR Low Millions
Binance,July,Tuesday,Exploit,FL Low 100K's,No Funds Returned
Ethereum,October,Wednesday,Exit Scam,FL Low Millions,No Funds Returned
Other,March,Sunday,Exploit,FL Less Than 100K,No Funds Returned
Fantom,December,Sunday,Exploit,FL Low Millions,No Funds Returned
Binance,August,Thursday,Exit Scam,FL Less Than 100K,No Funds Returned
Binance,August,Monday,Exploit,FL Low Millions,No Funds Returned
CEX,July,Friday,Exploit,FL Low 100K's,No Funds Returned
Polygon,December,Wednesday,Exploit,FL Low Millions,No Funds Returned
Binance,August,Tuesday,Exit Scam,FL Low 100K's,No Funds Returned
Avax,September,Tuesday,Exploit,FL Low Millions,No Funds Returned
Ethereum,October,Friday,Exit Scam,FL Less Than 100K,No Funds Returned
CEX,June,Monday,Exit Scam,FL High 100K's,No Funds Returned
Ethereum,October,Thursday,Exit Scam,FL Less Than 100K,No Funds Returned
Ethereum,September,Tuesday,Exploit,FL Low Millions,No Funds Returned
Ethereum,October,Tuesday,Exit Scam,FL Less Than 100K,No Funds Returned
Other,September,Friday,Exploit,FL Low 100K's,No Funds Returned
Ethereum,June,Saturday,Exit Scam,FL High 100K's,No Funds Returned
Solana,January,Sunday,Exit Scam,FL Low Millions,No Funds Returned
CEX,January,Saturday,Exploit,FL Low Millions,No Funds Returned
Solana,December,Tuesday,Exploit,FL Low Millions,FR Low Millions
CEX,October,Friday,Exploit,FL High 100K's,No Funds Returned
Binance,May,Sunday,Exploit,FL Low Millions,No Funds Returned
Ethereum,December,Thursday,Exit Scam,FL Less Than 100K,No Funds Returned
Binance,April,Tuesday,Exploit,FL Low Millions,No Funds Returned
CEX,July,Friday,Exit Scam,FL Low Millions,No Funds Returned
Ethereum,December,Friday,Exit Scam,FL Less Than 100K,No Funds Returned
Ethereum,December,Tuesday,Exit Scam,FL Less Than 100K,No Funds Returned
Ethereum,December,Monday,Exit Scam,FL Less Than 100K,No Funds Returned
Fantom,May,Thursday,Exit Scam,FL Low Millions,No Funds Returned
Ethereum,April,Saturday,Exploit,FL Low Millions,FR Low Millions
Binance,August,Sunday,Exit Scam,FL Less Than 100K,No Funds Returned
Other,October,Sunday,Exploit,FL Low 100K's,No Funds Returned
Binance,July,Wednesday,Exit Scam,FL Less Than 100K,No Funds Returned
Ethereum,December,Saturday,Exit Scam,FL Less Than 100K,No Funds Returned
Ethereum,August,Saturday,Exploit,FL Low Millions,No Funds Returned
Ethereum,September,Tuesday,Exploit,FL Low Millions,FR Low Millions
Ethereum,January,Tuesday,Exploit,FL Low 100K's,No Funds Returned
CEX,September,Friday,Exploit,FL Low Millions,FR Low Millions
CEX,February,Monday,Exploit,FL Low Millions,No Funds Returned
Ronin,March,Tuesday,Exploit,FL High Millions,FR Low Millions
Ethereum,February,Monday,Exit Scam,FL Low Millions,No Funds Returned
Ethereum,July,Tuesday,Exploit,FL Low 100K's,No Funds Returned
CEX,April,Friday,Exploit,FL Low 100K's,No Funds Returned
Ethereum,May,Friday,Exploit,FL Low Millions,No Funds Returned
Ethereum,June,Thursday,Exploit,FL Low 100K's,No Funds Returned
Ethereum,January,Friday,Exit Scam,FL Less Than 100K,No Funds Returned
Other,March,Wednesday,Exploit,FL Low 100K's,No Funds Returned
Ethereum,May,Saturday,Exploit,FL Low Millions,No Funds Returned
CEX,April,Friday,Exploit,FL Low 100K's,No Funds Returned
Polygon,July,Friday,Exploit,FL Low Millions,FR Low Millions
CEX,July,Wednesday,Exploit,FL Less Than 100K,No Funds Returned
Binance,February,Monday,Exit Scam,FL Low 100K's,No Funds Returned
CEX,June,Saturday,Exploit,FL Low Millions,No Funds Returned
Other,October,Sunday,Exploit,FL Low Millions,FR Low Millions
Ethereum,October,Monday,Exit Scam,FL Less Than 100K,No Funds Returned
Ethereum,October,Friday,Exploit,FL Low Millions,No Funds Returned
Binance,June,Monday,Exploit,FL High 100K's,No Funds Returned
Binance,July,Friday,Exploit,FL Low Millions,No Funds Returned
Ethereum,June,Thursday,Exit Scam,FL High 100K's,No Funds Returned
Ethereum,January,Monday,Exit Scam,FL Less Than 100K,No Funds Returned
Binance,February,Sunday,Exploit,FL Low Millions,No Funds Returned
Ethereum,February,Sunday,Exit Scam,FL Less Than 100K,No Funds Returned
